Company,Specific Bean Origin,REF,Review,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Shark Mountain,"Belize, 2013",1335,2014,72%,U.S.A.,3.25,"Criollo, Trinitario",Belize
Szanto Tibor,Porcelana,1263,2014,70%,Hungary,3.5,Criollo,Venezuela
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Valrhona,Guanaja,63,2006,70%,France,4.0,"Criollo, Trinitario",South America
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5, ,Nicaragua
Guido Castagna,Arriba,355,2009,64%,Italy,3.0,Forastero (Arriba) ASS,Ecuador
Pierre Marcolini,Cabosse,111,2007,70%,Belgium,4.0,Blend,"Venezuela, Java"
Martin Mayer,Alto Beni,1836,2016,76%,Austria,2.75, ,Bolivia
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4.0,Trinitario,Peru
Solomons Gold,Solomon Island w/ nibs,1796,2016,75%,New Zealand,3.25, ,Solomon Islands
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3.0, ,Jamaica
Callebaut,Baking,141,2007,70%,Belgium,1.0, ,Ecuador
Moho,Toledo District,1030,2013,72%,U.S.A.,3.0,Trinitario,Belize
"Smooth Chocolator, The","Oko Caribe, DOR005",1940,2017,70%,Australia,3.5, ,Dominican Republic
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25, ,Dominican Republic
Rogue,"Hispaniola, 2013",1081,2013,70%,U.S.A.,3.5, ,Dominican Republic
Na�ve,Barinas,1399,2014,70%,Lithuania,3.0, ,Venezuela
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3.0,Trinitario,Madagascar
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72%,Switzerland,4.0, ,Venezuela
ChocoReko,Patanemo,1454,2015,77%,Japan,3.0,Criollo,Venezuela
Stella (aka Bernrain),India,729,2011,72%,Switzerland,3.25, ,India
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71%,U.S.A.,3.0, ,Hawaii
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.0, ,Ecuador
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75, ,Nicaragua
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,90%,U.S.A.,2.0,Forastero (Arriba),Ecuador
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador
hexx,Madagascar,1546,2015,74%,U.S.A.,3.0,Trinitario,Madagascar
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil
Zart Pralinen,"Millot P., Ambanja",1820,2016,70%,Austria,3.5,"Criollo, Trinitario",Madagascar
Pomm (aka Dead Dog),"La Red, 2011",829,2012,76%,U.S.A.,2.5, ,Dominican Republic
Cacao Barry,Tanzania,300,2008,75%,France,2.0, ,Tanzania
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Solstice,Bundibugyo,1335,2014,70%,U.S.A.,3.0,"Forastero, Trinitario",Uganda
French Broad,San Andres,1209,2014,80%,U.S.A.,3.0, ,Costa Rica
Eau de Rose,Arauca,1812,2016,70%,Canada,3.25, ,Colombia
Starchild,"Bolivar, Arriba",1634,2015,70%,U.S.A.,3.0,Forastero (Nacional),Ecuador
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador
Marou,"Dak Lak, Batch 2451",1650,2015,70%,Vietnam,3.75,Trinitario,Vietnam
Dolfin (Belcolade),Noir,63,2006,70%,Belgium,1.5, , 
Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25, ,Venezuela
Palette de Bine,Gran Couva,1399,2014,70%,Canada,3.75,Trinitario,Trinidad
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5, ,Guatemala
Dandelion,"Mantuano, 2012",1085,2013,70%,U.S.A.,3.5, ,Venezuela
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75, ,Domincan Republic
Madre,Puerto Rico,1085,2013,70%,U.S.A.,2.75, ,Puerto Rico
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3.25, ,Ecuador
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3.0,Criollo (Porcelana),Venezuela
Pralus,Ghana,40,2006,75%,France,3.25,Forastero,Ghana
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5, ,Costa Rica
Felchlin,Elvesia P.,105,2006,74%,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75, ,Brazil
Q Chocolate,Brazil,1057,2013,75%,Brazil,3.25, ,Brazil
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71%,U.S.A.,2.75, ,Domincan Republic
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
Coppeneur,Trinidad,558,2010,72%,Germany,3.0,Trinitario,Trinidad
Salgado,Carenero Superior,288,2008,70%,Argentina,3.5,Trinitario,Venezuela
"Smooth Chocolator, The",Kokoa Kamili,1622,2015,67%,Australia,3.75, ,Tanzania
StRita Supreme,"Samar, East Visayas region",943,2012,75%,U.S.A.,2.75, ,Philippines
Mast Brothers,Ocumare de la Costa,572,2010,75%,U.S.A.,3.0, ,Venezuela
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3.0,Criollo,Peru
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4.0,Criollo (Ocumare 67),Venezuela
Scharffen Berger,San Juan de Cheni,959,2012,78%,U.S.A.,4.0, ,Peru
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5, ,Ecuador
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela
Habitual,one hundred,1205,2014,100%,Canada,2.0, , 
iQ Chocolate,black label,943,2012,72%,Scotland,3.0, ,Peru
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Amedei,Chuao,111,2007,70%,Italy,5.0,Trinitario,Venezuela
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5, ,Costa Rica
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
C-Amaro,Venezuela,809,2012,80%,Italy,3.0, ,Venezuela
Rogue,Porcelana,1209,2014,80%,U.S.A.,3.75,Criollo,Venezuela
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75, ,Dominican Republic
Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize
L.A. Burdick (Felchlin),Venzuela,597,2010,71%,U.S.A.,3.0, ,Venezuela
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,100%,U.S.A.,2.0,Forastero (Arriba),Ecuador
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0, ,Nicaragua
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Pralus,"Monte Alegre, Diego Badero",280,2008,75%,France,3.5, ,Brazil
Pralus,"Djakarta, Java and Ghana",99,2006,75%,France,3.5,"Criollo, Forastero","Indonesia, Ghana"
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75, ,Peru
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5, ,Hawaii
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75, ,Uganda
A. Morin,Akata,1680,2015,70%,France,3.5, ,Togo
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5, ,Ecuador
Terroir,Oko Caribe,1554,2015,70%,U.S.A.,3.5, ,Domincan Republic
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3.0,Criollo,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72%,Switzerland,3.75,Criollo,Venezuela
Ritual,Gran Couva,979,2012,75%,U.S.A.,3.5,Trinitario,Trinidad
Pacari,"Ecuador, raw",817,2012,85%,Ecuador,2.75, ,Ecuador
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize
Martin Mayer,Pisa,1836,2016,82%,Austria,3.0, ,Haiti
Pomm (aka Dead Dog),Peru,829,2012,82%,U.S.A.,2.75,Criollo,Peru
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75, ,Dominican Republic
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68%,Switzerland,2.75,Trinitario,Brazil
Spencer,Dominican Republic,1932,2017,70%,U.S.A.,3.75, ,Dominican Republic
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Tan Ban Skrati,"Paramaribo, batch 20160043-01",1868,2016,70%,Suriname,3.25,Trinitario,Suriname
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala
Soma,Africa,377,2009,70%,Canada,3.5,Forastero,Ghana
Pralus,"Barlovento, Venezuela",32,2006,75%,France,3.5,Trinitario,Venezuela
Amedei,Toscano Black,40,2006,70%,Italy,5.0,Blend, 
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,70%,Canada,3.75,Forastero (Amelonado),Vanuatu
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Sjolinds,Ghana,1454,2015,70%,U.S.A.,2.75,Forastero,Ghana
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5, ,Hawaii
Soma,Little Big Man,1339,2014,70%,Canada,3.25,Blend,Madagascar & Ecuador
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5, ,Brazil
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70%,Canada,3.0,"Criollo, Trinitario",Bolivia
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Fruity""",1319,2014,73%,U.S.A.,3.25, ,Ecuador
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3.0,Criollo,Venezuela
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
Zotter,Kerala State,781,2011,62%,Austria,3.25, ,India
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil
Rozsavolgyi,"Aragua, Trincheras",717,2011,70%,Hungary,3.5, ,Venezuela
Dandelion,Buto,1303,2014,70%,U.S.A.,2.75, ,Liberia
Feitoria Cacao,Cuyagua,1736,2016,76%,Portugal,2.5, ,Venezuela
Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,75%,U.S.A.,3.75, ,Honduras
Night Owl,Peru,1022,2013,75%,U.S.A.,2.75, ,Peru
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
Whittakers,Ghana,733,2011,72%,New Zealand,2.5,Forastero,Ghana
Soma,Cahabon Region,951,2012,70%,Canada,3.5,Trinitario,Guatemala
Tabal,Dominican Republic,1101,2013,70%,U.S.A.,2.75, ,Dominican Republic
Chocovic,Tarakan,439,2009,75%,Spain,3.25, , 
Soma,Black Science Blend 1,607,2010,70%,Canada,3.75,"Trinitario, Nacional","DR, Ecuador, Peru"
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,70%,Canada,4.0,,"Ven, Bolivia, D.R."
Amedei,Ecuador,123,2007,70%,Italy,3.0,Trinitario,Ecuador
Cello,Peru,1247,2014,70%,U.S.A.,2.75, ,Peru
Shattel,Tingo Maria,1884,2016,70%,Peru,3.25, ,Peru
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil
Mast Brothers,Tanzania,1450,2015,74%,U.S.A.,3.25, ,Tanzania
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3.0,Trinitario,Vietnam
Dandelion,Upala,805,2012,70%,U.S.A.,3.0, ,Costa Rica
Kto,ROIG,1426,2014,72%,U.S.A.,3.25, ,Dominican Republic
Mesocacao,El Salvador,1494,2015,80%,Honduras,2.75, ,El Salvador
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3.0, ,Ecuador
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5, ,Ecuador
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75, ,Hawaii
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela
Choklat,Brazilian,377,2009,80%,Canada,3.0, ,Brazil
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75,Trinitario,Vietnam
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55%,Domincan Republic,3.25, ,Dominican Republic
Sirene,"Camino Verde P., Balao, Guayas",1343,2014,73%,Canada,3.75, ,Ecuador
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5, ,Ecuador
Tabal,Peru,1105,2013,70%,U.S.A.,3.0, ,Peru
twenty-four blackbirds,Dominican Republic,1022,2013,68%,U.S.A.,3.25, ,Dominican Republic
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela
Machu Picchu Trading Co.,Peru,721,2011,70%,Peru,1.5, ,Peru
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85%,Ecuador,2.5, ,Ecuador
Ara,Chiapas,1379,2014,72%,France,2.5, ,Mexico
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72%,Belgium,3.0,Criollo,Indonesia
Patric,Madagascar,196,2007,70%,U.S.A.,4.0,Trinitario,Madagascar
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Scharffen Berger,Nibby,135,2007,62%,U.S.A.,3.0, , 
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Manufaktura Czekolady,Johe,1844,2016,70%,Poland,3.75, ,Nicaragua
Tocoti,Dominican Republic,789,2011,74%,U.S.A.,3.0, ,Dominican Republic
Michel Cluizel,Carre Grand Noir,24,2006,85%,France,2.0, , 
Lilla,Madagascar,1856,2016,70%,Finland,3.0,Trinitario,Madagascar
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru
Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Trinitario,Madagascar
Zotter,"Loma Los Pinos, Yacao region, D.R.",875,2012,62%,Austria,3.75, ,Dominican Republic
Pascha,Peru,1137,2013,70%,Peru,2.75, ,Peru
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero (Nacional),Ecuador
Seaforth,Grenada,1658,2015,70%,U.K.,2.75, ,Grenada
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia
Dormouse,"Colombia, Batch 9",1676,2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia
Bernachon,Nature,797,2012,55%,France,2.75, , 
Ocho,Sang Yum Coop,1760,2016,70%,New Zealand,3.5, ,Samoa
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3.0,Trinitario,Madagascar
Pump Street Bakery,Guantupi River,1227,2014,85%,U.K.,2.75,Forastero (Nacional),Ecuador
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacao Barry,Santo Domingo,586,2010,70%,France,3.0, ,Dominican Republic
Republica del Cacao (aka Confecta),Manabi,147,2007,75%,Ecuador,3.0,Forastero (Arriba),Ecuador
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar
Meadowlands,Bolivia,1287,2014,70%,U.S.A.,2.5, ,Bolivia
Cote d' Or (Kraft),Sensations Intense,48,2006,70%,Belgium,1.0, , 
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar
Tablette (aka Vanillabeans),Colombia,1450,2015,70%,Japan,3.0, ,Colombia
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75, ,Peru
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5, ,"Peru, Madagascar"
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
Zokoko,Alto Beni,697,2011,68%,Australia,3.5, ,Bolivia
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75, ,Venezuela
Raaka,Virunga,1708,2015,75%,U.S.A.,2.75,Forastero,Congo
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75, ,Mexico
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5, ,Peru
Guittard,Trinidad,552,2010,65%,U.S.A.,3.0,Trinitario,Trinidad
Laia aka Chat-Noir,Cuba,1434,2014,70%,France,2.75, ,Cuba
Woodblock,Ecuador,825,2012,70%,U.S.A.,2.5, ,Ecuador
Zokoko,Tokiala,701,2011,66%,Australia,3.5,Trinitario,Papua New Guinea
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5, ,Dominican Republic
Theo,Ivory Coast,184,2007,75%,U.S.A.,2.5, ,Ivory Coast
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico
Lillie Belle,Purple Haze,947,2012,75%,U.S.A.,2.75, ,"Venezuela, Dom. Rep."
Edelmond,Porcelana,1876,2016,68%,Germany,3.0,Criollo,Venezuela
Xocolat,Hispaniola,1057,2013,66%,Domincan Republic,3.0, ,Dominican Republic
Valrhona,"Loma Sotavento, 2013",1153,2013,64%,France,3.5, ,Dominican Republic
Soma,Noula Coop,817,2012,70%,Canada,3.25, ,Haiti
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Omnom,Papua New Guinea,1247,2014,70%,Iceland,3.0, ,Papua New Guinea
Fruition,Peru,863,2012,70%,U.S.A.,2.5, ,Peru
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5, ,Ecuador
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5, ,Hawaii
Marou,Lam Dong,955,2012,74%,Vietnam,3.5,Trinitario,Vietnam
Taza,Alto Beni,785,2011,87%,U.S.A.,3.25, ,Bolivia
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5, ,Indonesia
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75, ,Bolivia
Hummingbird,Momotombo,1311,2014,70%,Canada,3.0,Trinitario,Nicaragua
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
Parliament,Alto Beni,1251,2014,70%,U.S.A.,3.0, ,Bolivia
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Pacari,Nube- prototype,721,2011,70%,Ecuador,3.5, ,Ecuador
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico
Salgado,Rio Arriba,292,2008,70%,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador
Santander (Compania Nacional),Colombian 2008,404,2009,75%,Colombia,2.75,Forastero (Nacional),Colombia
Fruition,Costa Rica,781,2011,70%,U.S.A.,3.0, ,Costa Rica
Emerald Estate,Emerald Estate,1137,2013,70%,St. Lucia,3.25, ,St. Lucia
Zotter,El Oro,879,2012,75%,Austria,3.0,Forastero (Nacional),Ecuador
Marana,San Martin,1884,2016,70%,Peru,3.0, ,Peru
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5, ,Honduras
Parliament,Kilombero Valley,1856,2016,70%,U.S.A.,3.25, ,Tanzania
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70%,U.S.A.,2.75, ,Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3.0,Criollo,Mexico
Luker,Macondo,552,2010,60%,Colombia,3.0, ,"Colombia, Ecuador"
Ocelot,Piura,1558,2015,75%,Scotland,4.0,Criollo,Peru
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Sirene,Kokoa Kamili Coop,1856,2016,73%,Canada,3.5, ,Tanzania
Nathan Miller,Madagascar,1403,2014,73.5%,U.S.A.,2.5,Trinitario,Madagascar
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5, ,Venezuela
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.0, ,Bolivia
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75, ,Venezuela
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75, , 
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68%,Switzerland,3.25, ,Bolivia
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5, ,Ecuador
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
Shark Mountain,Ecuador,1335,2014,75%,U.S.A.,3.0,Trinitario,Ecuador
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85%,Belgium,3.0,Criollo,Peru
Valrhona,Caraibe,63,2006,66%,France,3.0,Trinitario,Carribean
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador
L'Amourette,Blend,853,2012,72%,U.S.A.,3.0,Criollo,"Peru, Ecuador, Venezuela"
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3.25, ,Guatemala
Scharffen Berger,Jamaica a l'ancienne,56,2006,70%,U.S.A.,2.0,Trinitario,Jamaica
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3.0, ,Brazil
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
Manoa,"Waiahole, O'ahu",1089,2013,72%,U.S.A.,3.75, ,Hawaii
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25, ,Dominican Republic
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4.0,Trinitario,Papua New Guinea
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,2.75, ,Dominican Republic
Zotter,"Brazil, Mitzi Blue",486,2010,65%,Austria,3.0, ,Brazil
